id	dilemma_key	option_key	value	target
#cdir_events_dilemma_option_junctions_tables;1;db/cdir_events_dilemma_option_junctions_tables/!!adamrogue_mvp_dilemma_option_junctions.tsv				
610190001	adamrogue_mvp_reward_dilemma	VAR_CHANCE	100	default
610190002	adamrogue_mvp_battle_dilemma	VAR_CHANCE	100	default
610190003	adamrogue_mvp_equipment_reward_dilemma	VAR_CHANCE	100	default
610190004	adamrogue_mvp_destination_dilemma	VAR_CHANCE	100	default
610190005	adamrogue_mvp_army_preview_dilemma	VAR_CHANCE	100	default
610190006	adamrogue_mvp_hero_reward_dilemma	VAR_CHANCE	100	default
610190007	adamrogue_mvp_hero_reward_full_dilemma	VAR_CHANCE	100	default
610190008	adamrogue_mvp_opening_dilemma	VAR_CHANCE	100	default
610190009	adamrogue_mvp_elite_battle_dilemma	VAR_CHANCE	100	default
610190010	adamrogue_mvp_first_defeat_dilemma	VAR_CHANCE	100	default
610190011	adamrogue_mvp_game_over_dilemma	VAR_CHANCE	100	default
